day,steps,total_sleep_duration,efficiency,sleep_midpoint_hour,average_hrv,lowest_resting_heart_rate,readiness_score,activity_score,active_minutes
2025-03-27,5009,31572,95.7,4.2,48.2,65.6,61,51,67
2025-03-28,5657,28368,84.5,3.68,54.7,71.1,51,55,42
2025-03-29,6716,28152,76.8,3.44,39.8,73.3,51,61,32
2025-03-30,8842,30492,94.0,4.27,56.3,65.2,39,75,66
2025-03-31,6454,29556,78.8,3.94,48.9,69.5,46,60,41
2025-04-01,6520,24660,84.6,4.3,28.8,73.3,43,60,19
2025-04-02,3329,23184,85.6,4.01,32.5,67.9,43,40,46
2025-04-03,4909,28296,92.8,3.37,27.2,70.4,50,50,46
2025-04-04,7406,25992,89.1,2.73,38.5,69.8,54,66,65
2025-04-05,8447,27648,91.2,4.0,40.6,70.0,50,72,72
2025-04-06,4984,25308,86.6,4.28,46.7,70.0,66,51,43
2025-04-07,8713,30240,96.8,3.09,50.8,62.3,63,74,62
2025-04-08,8370,22536,92.1,2.96,51.7,75.1,63,72,59
2025-04-09,5266,22068,88.9,4.14,25.6,84.9,33,52,27
2025-04-10,4872,26316,91.8,3.42,29.4,66.1,30,50,20
2025-04-11,5422,27792,75.2,3.72,37.2,73.5,55,53,38
2025-04-12,4589,29484,84.7,3.98,33.4,67.1,77,48,27
2025-04-13,7805,32148,89.3,4.79,53.9,71.8,62,68,48
2025-04-14,4244,23076,82.0,4.6,29.9,74.4,43,46,23
2025-04-15,5404,22608,81.7,4.32,36.7,73.1,49,53,42
2025-04-16,4953,29484,96.5,3.61,36.3,67.2,40,50,46
2025-04-17,9226,25668,86.9,2.46,69.1,71.5,61,77,60
2025-04-18,8999,23508,90.9,3.68,62.8,59.6,43,76,48
2025-04-19,6005,28620,97.1,2.87,42.5,74.1,58,57,24
2025-04-20,5491,31932,80.3,3.74,39.5,72.5,54,54,34
2025-04-21,7963,30816,95.3,4.09,47.4,71.8,70,69,48
2025-04-22,4520,22176,73.3,3.48,22.1,66.3,45,48,41
2025-04-23,3280,28656,84.2,3.65,28.1,70.0,54,40,20
2025-04-24,4254,23904,82.8,4.31,30.5,71.1,49,46,32
2025-04-25,4990,32688,81.7,3.36,38.5,72.7,50,51,39
2025-04-26,5914,30780,87.2,3.18,39.5,70.4,58,56,63
2025-04-27,3671,26532,79.7,5.35,26.6,75.3,50,42,42
2025-04-28,7411,28296,82.4,3.08,44.6,74.0,52,66,59
2025-04-29,7217,25668,88.2,4.45,39.6,76.1,42,64,68
2025-04-30,4327,26424,89.3,3.76,26.9,62.8,32,46,25
